Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,exchange,ACT Symbol,Exchange,CQS Symbol,NASDAQ Symbol,act_symbol_backup,cqs_symbol_backup
AMSC,American Superconductor Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
AMSF,"AMERISAFE, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
AMST,Amesite Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
AMTX,"Aemetis, Inc - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
AMWD,American Woodmark Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
AMZN,"Amazon.com, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ANAB,"AnaptysBio, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ANDE,"The Andersons, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ANGH,Anghami Inc. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ANGI,Angi Inc. - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ANGO,"AngioDynamics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ANIK,Anika Therapeutics Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
ANIX,"Anixa Biosciences, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ANNA,"AleAnna, Inc. - Class A Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ANNX,"Annexon, Inc. - common stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
ANTX,"AN2 Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ANY,Sphere 3D Corp. - Common Shares,S,N,D,100,N,N,NASDAQ,,,,,,
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
AOUT,"American Outdoor Brands, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
APA,APA Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
APAD,A Paradise Acquisition Corp. - Class A Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
APEI,"American Public Education, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
APGE,"Apogee Therapeutics, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
APLD,Applied Digital Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
APLM,Apollomics Inc. - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
APLT,"Applied Therapeutics, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
APM,Aptorum Group Limited - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
APOG,"Apogee Enterprises, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
APP,Applovin Corporation - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
APPF,"AppFolio, Inc. - Class A Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
APPN,Appian Corporation - Class A Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
APPS,"Digital Turbine, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
APRE,"Aprea Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
APVO,Aptevo Therapeutics Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",S,N,N,100,N,N,NASDAQ,,,,,,
APYX,Apyx Medical Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
AQB,"AquaBounty Technologies, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
AQMS,"Aqua Metals, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
AQST,"Aquestive Therapeutics, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
ARAI,Arrive AI Inc. - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
ARAY,Accuray Incorporated - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ARBB,ARB IOT Group Limited - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ARBE,Arbe Robotics Ltd. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ARCB,ArcBest Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
ARDX,"Ardelyx, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
AREB,"American Rebel Holdings, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
AREC,American Resources Corporation - Class A Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ARHS,"Arhaus, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ARKO,ARKO Corp. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ARQ,"Arq, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
ARQQ,Arqit Quantum Inc. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ARRY,"Array Technologies, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
ARTL,"Artelo Biosciences, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
ARVN,"Arvinas, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ASBP,"Aspire Biopharma Holdings, Inc.  - Common Stock",G,N,D,100,N,N,NASDAQ,,,,,,
ASLE,AerSale Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ASMB,"Assembly Biosciences, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ASNS,"Actelis Networks, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
ASO,"Academy Sports and Outdoors, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ASPC,A SPAC III Acquisition Corp. - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ASPI,ASP Isotopes Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ASPS,Altisource Portfolio Solutions S.A. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
